,AQSID,SiteName,Status,EPARegion,Latitude,Longitude,Elevation,GMTOffset,CountryCode,StateName,ValidDate,ValidTime,DataSource,ReportingArea_PipeDelimited,OZONE_AQI,PM10_AQI,PM25_AQI,NO2_AQI,OZONE_Measured,PM10_Measured,PM25_Measured,NO2_Measured,PM25,PM25_Unit,OZONE,OZONE_Unit,NO2,NO2_Unit,CO,CO_Unit,SO2,SO2_Unit,PM10,PM10_Unit,SHAPE
0,483951076,Franklin Oak Grove,Active,R6,31.168889,-96.481944,136.9,0.0,US,TX,03/26/19,04:00,Texas Commission on Environmental Quality,,,,,,0,0,0,0,,,,,,,,,,,,,"{'x': -96.481944, 'y': 31.168889, 'spatialReference': {'wkid': 4326}}"
1,080699991,Rocky Mtn NP Collocated,Active,R3,40.2778,-105.5453,2744.7,0.0,US,CO,03/26/19,04:00,EPA Office of Atmospheric Programs,,,,,,0,0,0,0,,,,,,,,,,,,,"{'x': -105.5453, 'y': 40.2778, 'spatialReference': {'wkid': 4326}}"
2,530639995,Colbert-Greenbluff,Active,R10,47.808226,-117.34326999999999,577.4,-8.0,US,WA,03/26/19,04:00,Washington Department of Ecology,Spokane,,,22.0,,0,0,1,0,12.1,UG/M3,,,,,,,,,,,"{'x': -117.34326999999999, 'y': 47.808226, 'spatialReference': {'wkid': 4326}}"
3,530639997,Spokane-E Broadway Ave (US),Active,R10,47.663963,-117.25765200000001,611.2,-8.0,US,WA,03/26/19,04:00,Washington Department of Ecology,Spokane,,,21.0,,0,0,1,0,9.0,UG/M3,,,,,,,,,,,"{'x': -117.25765200000001, 'y': 47.663963, 'spatialReference': {'wkid': 4326}}"
4,530639996,Liberty Lake-E Valeyway (US),Inactive,R10,47.660568,-117.084503,650.3,-8.0,US,WA,03/26/19,04:00,Washington Department of Ecology,Spokane,,,,,0,0,1,0,,,,,,,,,,,,,"{'x': -117.084503, 'y': 47.660568, 'spatialReference': {'wkid': 4326}}"
5,120350004,Flagler County,Active,R4,29.489082,-81.276833,0.0,-5.0,US,FL,03/26/19,04:00,Florida Dept. of Environmental Protection,Daytona Beach,30.0,,,,1,0,0,0,,,35.0,PPB,,,,,,,,,"{'x': -81.276833, 'y': 29.489082, 'spatialReference': {'wkid': 4326}}"
6,240050009,Baltimore County Near Road,Active,R3,39.371679,-76.746814,132.7,-5.0,US,MD,03/26/19,04:00,Maryland Department of the Environment,,,,,8.0,0,0,0,1,,,,,9.0,PPB,,,,,,,"{'x': -76.746814, 'y': 39.371679, 'spatialReference': {'wkid': 4326}}"
7,360850114,Staten Island,Inactive,R2,40.631699,-74.156898,0.0,-5.0,US,NY,03/26/19,04:00,New York Dept. of Environmental Conservation,New York City Region,,,,,0,0,1,0,,,,,,,,,,,,,"{'x': -74.156898, 'y': 40.631699, 'spatialReference': {'wkid': 4326}}"
8,MMGBU1001,GBUAPCD EBAM @ Bridgeport,Inactive,R9,38.257656,-119.218483,0.0,-8.0,US,MM,03/26/19,04:00,Great Basin Unified Air Pollution Control District,,,,,,0,0,1,0,,,,,,,,,,,,,"{'x': -119.218483, 'y': 38.257656, 'spatialReference': {'wkid': 4326}}"
9,360850111,Fresh Kills,Active,R2,40.5802,-74.1994,0.0,-5.0,US,NY,03/26/19,04:00,New York Dept. of Environmental Conservation,New York City Region,,,,,1,0,1,0,,,,,,,,,,,,,"{'x': -74.1994, 'y': 40.5802, 'spatialReference': {'wkid': 4326}}"
10,390610048,Cincinnati Near Road,Active,R5,39.146025,-84.538375,0.0,-5.0,US,OH,03/26/19,04:00,Ohio EPA-DAPC,,,,30.0,20.0,0,0,1,1,2.4,UG/M3,,,21.0,PPB,0.27,PPM,,,,,"{'x': -84.538375, 'y': 39.146025, 'spatialReference': {'wkid': 4326}}"
11,MMGBU1000,GBUAPCD EBAM @ June Lake,Inactive,R9,37.784396,-119.07364399999999,0.0,-8.0,US,MM,03/26/19,04:00,Great Basin Unified Air Pollution Control District,,,,,,0,0,1,0,,,,,,,,,,,,,"{'x': -119.07364399999999, 'y': 37.784396, 'spatialReference': {'wkid': 4326}}"
12,080570003,"Walden, CO",Active,USEPA,40.882197999999995,-106.30610700000001,2418.3,-7.0,US,CO,03/26/19,04:00,National Park Service,,,,,,1,0,0,1,,,,,,,,,,,,,"{'x': -106.30610700000001, 'y': 40.882197999999995, 'spatialReference': {'wkid': 4326}}"
13,530510007,Usk-Kalispel Tribe,Inactive,R10,48.3456,-117.277496,630.1,-8.0,US,WA,03/26/19,04:00,Washington Department of Ecology,,,,,,0,0,1,0,,,,,,,,,,,,,"{'x': -117.277496, 'y': 48.3456, 'spatialReference': {'wkid': 4326}}"
14,390610040,Taft,Active,R5,39.128859999999996,-84.50404,0.0,-5.0,US,OH,03/26/19,04:00,Ohio EPA-DAPC,Cincinnati,30.0,11.0,26.0,6.0,1,1,1,1,3.1,UG/M3,35.0,PPB,6.0,PPB,0.19,PPM,1.0,PPB,6.0,UG/M3,"{'x': -84.50404, 'y': 39.128859999999996, 'spatialReference': {'wkid': 4326}}"
15,390990013,Youngstown - Oakhill,Active,R5,41.096158,-80.658908,0.0,-5.0,US,OH,03/26/19,04:00,Ohio EPA-DAPC,Youngstown,33.0,,,,1,0,0,0,,,36.0,PPB,,,,,0.0,PPB,,,"{'x': -80.658908, 'y': 41.096158, 'spatialReference': {'wkid': 4326}}"
16,390990014,Youngstown - Head Start,Active,R5,41.095938000000004,-80.658467,0.0,-5.0,US,OH,03/26/19,04:00,Ohio EPA-DAPC,Youngstown,,,25.0,,0,0,1,0,6.2,UG/M3,,,,,,,,,,,"{'x': -80.658467, 'y': 41.095938000000004, 'spatialReference': {'wkid': 4326}}"
17,060712002,Fontana - Arrow Highway,Active,R9,34.100132,-117.49198200000001,116.8,-8.0,US,CA,03/26/19,04:00,South Coast AQMD,San Bernardino Co. Metro|C San Bernardino-1|C San Bernardino-2,28.0,,,24.0,1,0,0,1,,,26.0,PPB,26.0,PPB,0.35,PPM,1.0,PPB,,,"{'x': -117.49198200000001, 'y': 34.100132, 'spatialReference': {'wkid': 4326}}"
18,840540110007,HUNTINGTON,Active,R3,38.243663,-82.255676,0.0,-5.0,US,WV,03/26/19,04:00,West Virginia Division of Air Quality - Wheeling,Huntington,31.0,,,,1,0,0,0,,,33.0,PPB,,,,,,,,,"{'x': -82.255676, 'y': 38.243663, 'spatialReference': {'wkid': 4326}}"
19,060379033,Lancaster-Division,Active,R9,34.669589,-118.13068899999999,719.5,-8.0,US,CA,03/26/19,04:00,Mojave Desert AQMD,Mojave Desert|Antelope Vly,64.0,29.0,46.0,,1,1,1,0,11.0,UG/M3,58.0,PPB,,,,,,,28.0,UG/M3,"{'x': -118.13068899999999, 'y': 34.669589, 'spatialReference': {'wkid': 4326}}"
20,060379034,Lebec,Inactive,R9,34.8289,-118.8791,0.0,-8.0,US,CA,03/26/19,04:00,California Air Resources Board,,,,,,1,0,1,0,,,,,,,,,,,,,"{'x': -118.8791, 'y': 34.8289, 'spatialReference': {'wkid': 4326}}"
21,560350099,Boulder,Active,R8,42.7186,-109.7531,2168.2,-7.0,US,WY,03/26/19,04:00,Wyoming Department of Environmental Quality,Boulder|Upper Green River Basin,47.0,6.0,,,1,1,0,1,,,,,,,,,,,5.0,UG/M3,"{'x': -109.7531, 'y': 42.7186, 'spatialReference': {'wkid': 4326}}"
22,090131001,Stafford,Active,R1,41.9756,-72.3867,0.0,-5.0,US,CT,03/26/19,04:00,Connecticut Dept. of Energy and Environmental Protection,Stafford,38.0,,,,1,0,0,0,,,40.0,PPB,,,,,,,,,"{'x': -72.3867, 'y': 41.9756, 'spatialReference': {'wkid': 4326}}"
23,481670697,Coastal Center C697,Inactive,R6,29.38777,-95.041389,6.1,-6.0,US,TX,03/26/19,04:00,Texas Commission on Environmental Quality,,,,,,1,0,0,0,,,,,,,,,,,,,"{'x': -95.041389, 'y': 29.38777, 'spatialReference': {'wkid': 4326}}"
24,560350097,Wyoming Range,Inactive,R8,42.98,-110.353058,2477.8,-7.0,US,WY,03/26/19,04:00,Wyoming Department of Environmental Quality,,,,,,1,1,1,1,,,,,,,,,,,,,"{'x': -110.353058, 'y': 42.98, 'spatialReference': {'wkid': 4326}}"
25,060290008,Maricopa - Stanilaus Street,Active,R9,35.0544,-119.4039,0.0,-8.0,US,CA,03/26/19,04:00,San Joaquin Valley Unified APCD,,45.0,,,,1,0,0,0,,,47.0,PPB,,,,,,,,,"{'x': -119.4039, 'y': 35.0544, 'spatialReference': {'wkid': 4326}}"
26,060290007,Edison,Active,R9,35.3461,-118.8511,0.0,-8.0,US,CA,03/26/19,04:00,California Air Resources Board,,43.0,,,3.0,1,0,0,1,,,44.0,PPB,3.0,PPB,,,,,,,"{'x': -118.8511, 'y': 35.3461, 'spatialReference': {'wkid': 4326}}"
27,482511063,Mansfield Flying L Lane C1063,Active,R6,32.5418,-97.1175,195.2,-6.0,US,TX,03/26/19,04:00,Texas Commission on Environmental Quality,,,,,,0,0,0,0,,,,,,,,,,,,,"{'x': -97.1175, 'y': 32.5418, 'spatialReference': {'wkid': 4326}}"
